iter	Passed	Remaining
0	99	49715
1	127	31694
2	151	25115
3	176	21936
4	202	20034
5	227	18725
6	253	17888
7	284	17487
8	327	17889
9	417	20440
10	482	21455
11	520	21147
12	550	20640
13	581	20192
14	613	19842
15	647	19590
16	684	19433
17	727	19486
18	770	19516
19	815	19569
20	856	19533
21	892	19399
22	931	19324
23	971	19260
24	1010	19201
25	1049	19139
26	1087	19044
27	1127	19014
28	1166	18938
29	1217	19074
30	1296	19611
31	1415	20697
32	1464	20728
33	1495	20491
34	1528	20300
35	1567	20202
36	1616	20226
37	1664	20240
38	1708	20196
39	1742	20042
40	1776	19890
41	1813	19774
42	1851	19676
43	1889	19580
44	1924	19460
45	1959	19338
46	1996	19238
47	2031	19126
48	2069	19043
49	2105	18948
50	2140	18844
51	2174	18735
52	2213	18671
53	2250	18588
54	2288	18512
55	2324	18426
56	2359	18337
57	2394	18245
58	2431	18176
59	2466	18090
60	2502	18012
61	2537	17928
62	2572	17846
63	2608	17772
64	2646	17710
65	2684	17652
66	2720	17579
67	2755	17505
68	2791	17438
69	2828	17376
70	2865	17311
71	2899	17234
72	2935	17168
73	2970	17101
74	3007	17043
75	3047	17001
76	3083	16938
77	3117	16864
78	3154	16811
79	3189	16744
80	3228	16700
81	3263	16635
82	3303	16596
83	3342	16553
84	3383	16518
85	3419	16460
86	3457	16414
87	3497	16373
88	3533	16317
89	3573	16277
90	3610	16227
91	3648	16179
92	3686	16131
93	3725	16090
94	3761	16036
95	3803	16006
96	3839	15952
97	3880	15918
98	3917	15867
99	3959	15836
100	3997	15790
101	4039	15761
102	4079	15722
103	4118	15680
104	4158	15643
105	4199	15608
106	4236	15561
107	4274	15515
108	4317	15486
109	4357	15447
110	4396	15407
111	4437	15372
112	4478	15338
113	4518	15300
114	4560	15266
115	4602	15234
116	4643	15199
117	4683	15161
118	4726	15131
119	4766	15092
120	4806	15055
121	4848	15022
122	4890	14990
123	4934	14961
124	4975	14925
125	5019	14898
126	5060	14863
127	5101	14825
128	5143	14791
129	5187	14765
130	5227	14723
131	5270	14692
132	5312	14657
133	5348	14609
134	5389	14570
135	5424	14517
136	5457	14461
137	5495	14415
138	5531	14366
139	5567	14317
140	5603	14266
141	5641	14223
142	5676	14171
143	5712	14123
144	5749	14076
145	5786	14030
146	5821	13979
147	5859	13937
148	5893	13883
149	5930	13838
150	5966	13790
151	6004	13746
152	6040	13700
153	6077	13655
154	6113	13606
155	6148	13559
156	6183	13509
157	6219	13461
158	6253	13412
159	6289	13365
160	6326	13320
161	6362	13273
162	6398	13228
163	6437	13189
164	6472	13141
165	6507	13093
166	6544	13050
167	6585	13013
168	6625	12976
169	6666	12941
170	6705	12900
171	6744	12861
172	6784	12824
173	6824	12786
174	6867	12753
175	6905	12712
176	6946	12676
177	6985	12636
178	7025	12599
179	7064	12559
180	7104	12521
181	7143	12481
182	7182	12441
183	7224	12407
184	7257	12356
185	7291	12309
186	7326	12263
187	7362	12218
188	7400	12177
189	7435	12130
190	7469	12084
191	7505	12040
192	7540	11994
193	7576	11949
194	7613	11907
195	7647	11860
196	7683	11817
197	7717	11770
198	7753	11728
199	7788	11683
200	7823	11637
201	7856	11590
202	7892	11546
203	7925	11499
204	7960	11454
205	7993	11408
206	8028	11363
207	8063	11319
208	8100	11278
209	8133	11232
210	8167	11186
211	8202	11143
212	8238	11100
213	8273	11056
214	8306	11011
215	8341	10967
216	8377	10925
217	8411	10881
218	8445	10836
219	8481	10794
220	8515	10750
221	8551	10708
222	8584	10663
223	8618	10619
224	8653	10576
225	8688	10533
226	8723	10491
227	8757	10448
228	8792	10405
229	8828	10363
230	8863	10321
231	8897	10277
232	8932	10236
233	8967	10194
234	9003	10152
235	9038	10110
236	9073	10068
237	9107	10026
238	9142	9984
239	9177	9941
240	9212	9900
241	9247	9858
242	9281	9816
243	9315	9773
244	9349	9730
245	9385	9691
246	9420	9649
247	9453	9605
248	9489	9565
249	9523	9523
250	9556	9480
251	9592	9440
252	9628	9399
253	9662	9358
254	9698	9317
255	9733	9276
256	9766	9234
257	9801	9193
258	9836	9152
259	9870	9111
260	9907	9072
261	9941	9030
262	9975	8989
263	10011	8949
264	10045	8908
265	10080	8867
266	10117	8828
267	10151	8787
268	10185	8746
269	10219	8705
270	10255	8666
271	10289	8624
272	10325	8585
273	10358	8544
274	10394	8504
275	10430	8465
276	10464	8424
277	10501	8385
278	10536	8345
279	10570	8305
280	10604	8264
281	10638	8223
282	10673	8184
283	10708	8144
284	10741	8102
285	10776	8063
286	10810	8023
287	10845	7983
288	10881	7944
289	10913	7903
290	10949	7863
291	10983	7823
292	11018	7784
293	11052	7744
294	11087	7705
295	11123	7665
296	11156	7625
297	11192	7586
298	11225	7546
299	11260	7507
300	11295	7467
301	11330	7428
302	11363	7388
303	11399	7349
304	11433	7310
305	11467	7270
306	11504	7232
307	11537	7192
308	11572	7153
309	11606	7113
310	11641	7074
311	11676	7036
312	11711	6996
313	11747	6958
314	11781	6919
315	11816	6880
316	11849	6840
317	11886	6802
318	11918	6762
319	11954	6724
320	11987	6684
321	12022	6646
322	12057	6607
323	12092	6568
324	12126	6529
325	12161	6491
326	12195	6452
327	12229	6413
328	12264	6374
329	12300	6336
330	12335	6298
331	12371	6260
332	12404	6221
333	12439	6182
334	12476	6144
335	12508	6105
336	12543	6067
337	12578	6028
338	12613	5990
339	12646	5951
340	12681	5913
341	12716	5875
342	12751	5836
343	12785	5798
344	12820	5759
345	12854	5721
346	12890	5683
347	12924	5645
348	12959	5606
349	12994	5569
350	13029	5531
351	13064	5493
352	13100	5455
353	13133	5416
354	13168	5378
355	13203	5340
